Title,Zone,Responses,Households,Agree,Disagree,"Response
rate","Disagree -
respondents (%)","Tree Panel
Required?",Phase,,
Birchvale Road,B75 Birley,3,18,3,0,17%,0%,No,3,,
Bowman Close,B69 Base Green,1,24,1,0,4%,0%,No,3,,
Charnock Grove,B69 Base Green,6,54,6,0,11%,0%,No,3,,
Cliffe Road,B34 Walkley Bank,3,24,2,1,13%,33%,No,3,,
Coleridge Gardens,B28 Attercliffe,0,51,0,0,0%,0%,No,3,,
Ducan Road,B34 Walkley Bank,7,129,5,2,5%,29%,No,3,,
Longstone Crescent,B75 Birley,10,81,7,3,12%,30%,No,3,,
Robertson Road,B34 Walkley Bank,8,63,6,2,13%,25%,No,3,,
Smalldale Road,B75 Birley,13,162,13,0,8%,0%,No,3,,
St Anthony Road,B34 Walkley Bank,5,101,4,1,5%,20%,No,3,,
Tinker Lane,B34 Walkley Bank,7,38,6,1,18%,14%,No,3,,
Walkley Terrace,B34 Walkley Bank,4,26,3,1,15%,25%,No,3,,
Camborne Road,B16 Birley Carr,6,20,3,3,30%,50%,Yes,4,,
Hillcrest Road,B04 Wharncliffe,1,64,0,1,2%,100%,Yes,4,,
Barnsley Road - A,A20 Firth Park,8,245,8,0,3%,0%,No,4,,
Chiltern Road,B09 Hallowmoor,15,47,10,5,32%,33%,No,4,,
Cotswold Road,B09 Hallowmoor,19,57,12,6,33%,32%,No,4,,
Dixon Drive,B04 Wharncliffe,5,49,3,2,10%,40%,No,4,,
Don Avenue,B04 Wharncliffe,8,102,7,1,8%,13%,No,4,,
Herries Drive,A20 Firth Park,15,76,11,4,20%,27%,No,4,,
Herries Road,A20 Firth Park,14,250,12,2,6%,14%,No,4,,
Longley Lane,A20 Firth Park,6,56,5,1,11%,17%,No,4,,
Shirecliffe Road,A20 Firth Park,7,178,5,2,4%,29%,No,4,,
Sicey Avenue,A20 Firth Park,22,433,16,6,5%,27%,No,4,,
St Margaret Avenue,B04 Wharncliffe,8,47,8,0,17%,0%,No,4,,
Stubbin Lane,A20 Firth Park,3,79,3,0,4%,0%,No,4,,
Whirlow Grove,B50 Whirlow,9,41,7,2,22%,22%,No,4,,
Whirlow Park Road,B50 Whirlow,9,62,8,1,15%,11%,No,4,,
Wisewood Road,B09 Hallowmoor,10,86,9,1,12%,10%,No,4,,
Cruise Road,B48 Endcliffe,12,66,6,6,18%,50%,Yes,5,,
Endcliffe Grove Avenue,B48 Endcliffe,10,52,4,6,19%,60%,Yes,5,,
Greenland Drive,B27 Darnall,2,104,0,1,2%,50%,Yes,5,,
Greenland Way,B27 Darnall,2,92,1,1,2%,50%,Yes,5,,
Rushley Road,A18 Dore,6,63,2,4,10%,67%,Yes,5,,
Thompson Road,B48 Endcliffe,4,57,1,3,7%,7500%,Yes,5,,
Abbey Lane,A18 Dore,45,419,39,5,11%,11%,No,5,,
Barnardiston Road,B27 Darnall,2,50,1,0,4%,0%,No,5,,
Barnsley Road - B,A26 Southey,5,107,3,2,5%,40%,No,5,,
Bocking Lane,A18 Dore,20,171,11,9,12%,45%,No,5,,
Deerlands Avenue,A26 Southey,16,409,12,3,4%,19%,No,5,,
Ecclesall Road South,A18 Dore,33,249,29,3,13%,9%,No,5,,
Endcliffe Avenue,B48 Endcliffe,0,48,0,0,0%,-,No,5,,
Greenhill Avenue,A18 Dore,15,157,12,2,10%,13%,No,5,,
Gregg House Road,A26 Southey,2,129,2,0,2%,0%,No,5,,
Hatfield House Lane,A26 Southey,9,119,8,1,8%,11%,No,5,,
Khartoum Road,B48 Endcliffe,0,28,0,0,0%,-,No,5,,
Riverdale Avenue,B48 Endcliffe,1,2,1,0,60%,0%,No,5,,
Rutland Park,B48 Endcliffe,6,37,5,1,16%,17%,No,5,,
Southey Green Road,A26 Southey,9,274,6,3,3%,33%,No,5,,
Agden Road,B55 Sharrow,5,14,2,3,36%,60%,Yes,6,,
Albany Road,B55 Sharrow,10,56,2,8,18%,80%,Yes,6,,
Crescent Road,B55 Sharrow,32,75,11,20,43%,63%,Yes,6,,
Kenbourne Road,B55 Sharrow,27,45,4,23,60%,85%,Yes,6,,
Kenwood Park Road,B55 Sharrow,22,79,3,19,28%,86%,Yes,6,,
Kenwood Road,B55 Sharrow,12,37,0,12,32%,100%,Yes,6,,
Rundle Road,B55 Sharrow,28,53,3,25,53%,89%,Yes,6,,
Ryle Road,B55 Sharrow,6,8,0,6,75%,100%,Yes,6,,
Steade Road,B55 Sharrow,23,110,4,19,21%,83%,Yes,6,,
Thornsett Road,B55 Sharrow,18,71,5,13,25%,72%,Yes,6,,
Wath Road,B55 Sharrow,16,78,2,14,21%,88%,Yes,6,,
Broomspring Lane,B40 - SW Central,4,77,4,0,5%,0%,No,6,,
Charter Row,B40 - SW Central,0,1,0,0,0%,-,No,6,,
Chippinghouse Road,B55 Sharrow,6,104,5,1,6%,17%,No,6,,
Milton Road,B55 Sharrow,14,35,9,5,40%,36%,No,6,,
St Ronan's Road,B55 Sharrow,13,32,10,3,41%,23%,No,6,,
Banner Cross Road,B51 Millhouses,25,84,12,13,30%,52%,Yes,7,,
Derriman Close,B51 Millhouses,2,10,1,1,20%,50%,Yes,7,,
Derriman Drive,B51 Millhouses,2,14,1,1,14%,50%,Yes,7,,
Silver Hill Road,B51 Millhouses,14,34,3,11,41%,79%,Yes,7,,
Silverdale Close,B51 Millhouses,7,24,3,4,29%,57%,Yes,7,,
Silverdale Croft,B51 Millhouses,2,7,1,1,29%,50%,Yes,7,,
Whirlowdale Crescent,B51 Millhouses,21,69,10,11,30%,52%,Yes,7,,
Cortworth Road,B51 Millhouses,9,61,7,2,15%,22%,No,7,,
Coverdale Road,B51 Millhouses,9,30,7,2,30%,22%,No,7,,
Derriman Avenue,B51 Millhouses,3,12,3,0,25%,0%,No,7,,
Derriman Glen,B51 Millhouses,4,12,3,1,33%,25%,No,7,,
Dobcroft Road,B51 Millhouses,46,227,32,13,20%,28%,No,7,,
Dunkeld Road,B51 Millhouses,29,65,20,9,45%,31%,No,7,,
Millhouses Lane,B51 Millhouses,27,207,21,5,13%,19%,No,7,,
Pingle Road,B51 Millhouses,17,86,13,4,20%,24%,No,7,,
Ranelagh Drive,B51 Millhouses,10,22,8,2,45%,20%,No,7,,
Silverdale Glade,B51 Millhouses,3,7,2,1,43%,33%,No,7,,
Silverdale Gardens,B51 Millhouses,1,6,1,0,17%,0%,No,7,,
Silverdale Road,B51 Millhouses,13,91,8,5,14%,38%,No,7,,
Whirlowdale Road,B51 Millhouses,52,171,36,13,30%,25%,No,7,,
Albert Road,B56 Meersbrook,40,283,13,27,14%,68%,Yes,8,,
Argyle Road,B56 Meersbrook,32,79,8,24,41%,75%,Yes,8,,
Binfield Road,B56 Meersbrook,14,23,6,8,61%,57%,Yes,8,,
Crawford Road,B56 Meersbrook,21,68,9,12,31%,57%,Yes,8,,
Lismore Road,B56 Meersbrook,31,43,15,16,72%,52%,Yes,8,,
Meersbrook Park Road,B56 Meersbrook,40,100,11,29,40%,73%,Yes,8,,
Stanley Road,B56 Meersbrook,11,21,4,6,52%,55%,Yes,8,,
Upper Albert Road,B56 Meersbrook,32,88,8,24,36%,75%,Yes,8,,
Woodbank Crescent,B56 Meersbrook,19,57,5,14,33%,74%,Yes,8,,
Woodstock Road,B55 Sharrow,43,72,15,28,60%,65%,Yes,8,,
Carrfield Drive,B56 Meersbrook,12,26,7,5,46%,42%,No,8,,
Cliffefield Road,B56 Meersbrook,37,163,23,14,23%,38%,No,8,,
Collingbourne Avenue,B80 Sothall,7,72,7,0,10%,0%,No,8,,
Gerard Street,B56 Meersbrook,2,24,2,0,8%,0%,No,8,,
Hartland Avenue,B80 Sothall,8,59,8,0,14%,0%,No,8,,
Highfield Lane,A24 Woodhouse,2,18,2,0,11%,0%,No,8,,
Retford Road,A24 Woodhouse,36,250,25,11,14%,31%,No,8,,
Ringwood Drive,B80 Sothall,1,7,1,0,14%,0%,No,8,,
School Road,B80 Sothall,11,113,6,4,10%,36%,No,8,,
Station Road,A24 Woodhouse,15,94,12,3,16%,20%,No,8,,
Horninglow Road,A20 Firth Park,23,219,20,2,11%,9%,No,9,,
The Oval,B09 Hallowmoor,9,153,8,1,6%,11%,No,9,,
Tideswell Road,B16 Birley Carr,8,63,5,3,13%,38%,No,9,,
Aldam Road,B53 - Totley,15,85,6,9,18%,60%,Yes,10,,
Aldam Way,B53 - Totley,9,56,2,7,16%,78%,Yes,10,,
Aldred Road,B47 - Howard Hill,9,48,3,6,19%,67%,Yes,10,,
Blayton Road,B24 - Pitsmoor,5,44,2,3,11%,60%,Yes,10,,
Bower Road,B47 - Howard Hill,6,64,1,5,9%,83%,Yes,10,,
Bracken Road,B21 - Firth Park,1,56,0,1,2%,100%,Yes,10,,
Brighton Terrace Road,B47 - Howard Hill,14,62,4,10,23%,71%,Yes,10,,
Brinkburn Drive,B53 - Totley,1,26,0,1,4%,100%,Yes,10,,
Burngreave Street,B24 - Pitsmoor,2,29,1,1,7%,50%,Yes,10,,
Cannon Hall Road,B23 - Upper Crabtree,5,45,0,5,11%,100%,Yes,10,,
Cawston Road,B24 - Pitsmoor,2,20,1,1,10%,50%,Yes,10,,
Cheadle Street,B32 - Hillsborough,5,16,2,3,31%,60%,Yes,10,,
Cherry Bank Road,B61 - Norton Woodseats,9,40,4,5,23%,56%,Yes,10,,
Chesterfield Road South,A08 - Meadowhead,7,21,2,4,33%,57%,Yes,10,,
Cox Place,B09 - Hallowmoor,4,42,1,3,10%,75%,Yes,10,,
Crabtree Close,B23 - Upper Crabtree,1,23,0,1,4%,100%,Yes,10,,
Crabtree Drive,B23 - Upper Crabtree,3,22,1,2,14%,67%,Yes,10,,
Cromwell Street,B47 - Howard Hill,16,103,6,10,16%,63%,Yes,10,,
Donnington Road,B64 - Norfolk Park,4,39,2,2,10%,50%,Yes,10,,
Dorothy Road,B32 - Hillsborough,9,70,3,6,13%,67%,Yes,10,,
East Bank Road,A23 - Gleadless,2,232,0,2,1%,100%,Yes,10,,
Ecclesall Road,A22 - Ecclesall,15,653,3,12,2%,80%,Yes,10,,
Fir Street,B47 - Howard Hill,2,62,1,1,3%,50%,Yes,10,,
Firshill Avenue,B23 - Upper Crabtree,3,50,1,2,6%,67%,Yes,10,,
Fulton Road,B47 - Howard Hill,14,116,2,12,12%,86%,Yes,10,,
Glebe Road,B47 - Howard Hill,13,41,0,13,32%,100%,Yes,10,,
Green Oak Road,B53 - Totley,27,180,6,20,15%,74%,Yes,10,,
Hampton Road,B23 - Upper Crabtree,3,35,1,2,9%,67%,Yes,10,,
Hartley Brook Road,A26 - Southey,4,227,1,3,2%,75%,Yes,10,,
Hawksley Avenue,B32 - Hillsborough,34,97,10,24,35%,71%,Yes,10,,
Holdings Road,B64 - Norfolk Park,1,60,0,1,2%,100%,Yes,10,,
Hollythorpe Crescent,B61 - Norton Woodseats,8,20,2,5,40%,63%,Yes,10,,
Hollythorpe Rise,B61 - Norton Woodseats,11,48,5,6,23%,55%,Yes,10,,
Kenwell Drive,B53 - Totley,10,25,3,7,40%,70%,Yes,10,,
Lathkill Road,B70 - Richmond,1,34,0,1,3%,100%,Yes,10,,
Laverdene Way,B53 - Totley,5,14,1,4,36%,80%,Yes,10,,
Lees Hall Avenue,B61 - Norton Woodseats,12,67,5,7,18%,58%,Yes,10,,
Lees Hall Road,B61 - Norton Woodseats,28,119,13,15,24%,54%,Yes,10,,
Leighton Road,A23 - Gleadless,6,183,2,4,3%,67%,Yes,10,,
Malton Street,B24 - Pitsmoor,5,99,0,5,5%,100%,Yes,10,,
Marlcliffe Road,B32 - Hillsborough,31,139,14,17,22%,55%,Yes,10,,
Milden Road,B32 - Hillsborough,24,59,12,12,41%,50%,Yes,10,,
Mona Road,B47 - Howard Hill,20,90,8,12,22%,60%,Yes,10,,
Montgomery Road,A22 - Ecclesall,42,142,4,38,30%,90%,Yes,10,,
Nether Road,A26 - Southey,2,12,1,1,17%,50%,Yes,10,,
Oxford Street,B36 - Upperthorpe,13,201,0,13,6%,100%,Yes,10,,
Pexton Road,B24 - Pitsmoor,3,25,1,2,12%,67%,Yes,10,,
Pleasant Close,B70 - Richmond,1,6,0,1,17%,100%,Yes,10,,
Psalter Lane,A22 - Ecclesall,62,269,14,47,23%,76%,Yes,10,,
Ridgeway Road,A23 - Gleadless,12,224,5,6,5%,50%,Yes,10,,
Sackville Road,B47 - Howard Hill,14,75,7,7,19%,50%,Yes,10,,
Seabrook Road,B64 - Norfolk Park,1,37,0,1,3%,100%,Yes,10,,
Sheldon Road,A22 - Ecclesall,28,144,5,23,19%,82%,Yes,10,,
Shepperson Road,B32 - Hillsborough,15,57,6,9,26%,60%,Yes,10,,
Skipton Road,B24 - Pitsmoor,11,37,2,9,30%,82%,Yes,10,,
Smelter Wood Road,B70 - Richmond,3,74,1,2,4%,67%,Yes,10,,
Spring Hill Road,B47 - Howard Hill,7,29,1,6,24%,86%,Yes,10,,
Springvale Road,B36 - Upperthorpe,16,225,4,12,7%,75%,Yes,10,,
Sunnyvale Road,B53 - Totley,6,64,2,4,9%,67%,Yes,10,,
Thorpe House Avenue,B61 - Norton Woodseats,32,105,15,16,30%,50%,Yes,10,,
Thorpe House Road,B61 - Norton Woodseats,17,86,8,9,20%,53%,Yes,10,,
Twentywell Rise,B53 - Totley,2,7,1,1,29%,50%,Yes,10,,
Twentywell View,B53 - Totley,3,36,1,2,8%,67%,Yes,10,,
Tylney Road,B64 - Norfolk Park,2,67,1,1,3%,50%,Yes,10,,
Vainor Road,B32 - Hillsborough,30,56,12,18,54%,60%,Yes,10,,
Ventnor Place,B55 - Sharrow,6,14,0,6,43%,100%,Yes,10,,
Warminster Crescent,B61 - Norton Woodseats,17,52,7,10,33%,59%,Yes,10,,
Western Road,B47 - Howard Hill,62,151,10,52,41%,84%,Yes,10,,
Willis Road,B32 - Hillsborough,6,37,3,3,16%,50%,Yes,10,,
Wollaton Avenue,B53 - Totley,15,55,6,9,27%,60%,Yes,10,,
Wollaton Drive,B53 - Totley,2,6,0,1,33%,50%,Yes,10,,
Wostenholm Road,A22 - Ecclesall,7,142,3,4,5%,57%,Yes,10,,
Abbeyfield Road,B24 - Pitsmoor,25,148,16,9,17%,36%,No,10,,
Aldfield Way,B23 - Upper Crabtree,2,37,2,0,5%,0%,No,10,,
Arnold Avenue,B69 - Basegreen,21,195,17,3,11%,14%,No,10,,
Balmain Road,B32 - Hillsborough,4,59,3,1,7%,25%,No,10,,
Basegreen Crescent,B69 - Basegreen,5,59,5,0,8%,0%,No,10,,
Baslow Road,B53 - Totley,9,147,7,2,6%,22%,No,10,,
Bawtry Road,A25 - Tinsley,1,126,1,0,1%,0%,No,10,,
Beaver Hill Road,A24 - Woodhouse,6,106,5,0,6%,0%,No,10,,
Bents Road,A22 - Ecclesall,29,103,19,10,28%,34%,No,10,,
Bishopsholme Road,B23 - Upper Crabtree,6,59,4,2,10%,33%,No,10,,
Bradway Drive,B53 - Totley,4,25,3,1,16%,25%,No,10,,
Bradway Grange Road,B53 - Totley,1,13,0,0,8%,0%,No,10,,
Briarfield Crescent,B69 - Basegreen,2,54,2,0,4%,0%,No,10,,
Buckenham Street,B24 - Pitsmoor,1,27,1,0,4%,0%,No,10,,
Carson Mount,B69 - Basegreen,4,47,4,0,9%,0%,No,10,,
Cavendish Avenue,B52 - Dore,9,36,5,4,25%,44%,No,10,,
Chadwick Road,B70 - Richmond,0,64,0,0,0%,-,No,10,,
Charnock Drive,B69 - Basegreen,4,48,4,0,8%,0%,No,10,,
Charnock Wood Road,B69 - Basegreen,2,72,2,0,3%,0%,No,10,,
Club Street,B42 - Sharrow Vale,0,27,0,0,0%,-,No,10,,
Common Side,B47 - Howard Hill,4,73,3,1,5%,25%,No,10,,
Conalan Avenue,B53 - Totley,4,45,4,0,9%,0%,No,10,,
Cowley Lane,A26 - Southey,3,96,1,1,3%,33%,No,10,,
Crabtree Lane,B23 - Upper Crabtree,7,52,5,2,13%,29%,No,10,,
Daniel Hill Terrace,B36 - Upperthorpe,5,15,3,2,33%,40%,No,10,,
Ditchingham Street,B24 - Pitsmoor,0,13,0,0,0%,-,No,10,,
Duncombe Street,B47 - Howard Hill,7,99,4,2,7%,29%,No,10,,
Earl Marshal Road,B24 - Pitsmoor,2,170,2,0,1%,0%,No,10,,
Edensor Road,B23 - Upper Crabtree,7,67,4,2,10%,29%,No,10,,
Ella Road,B24 - Pitsmoor,1,6,1,0,17%,0%,No,10,,
Ellesmere Road,B24 - Pitsmoor,0,46,0,0,0%,-,No,10,,
Essendine Crescent,B61 - Norton Woodseats,11,28,8,3,39%,27%,No,10,,
Everard Avenue,B53 - Totley,10,95,6,4,11%,40%,No,10,,
Everard Drive,B53 - Totley,3,30,2,1,10%,33%,No,10,,
Fairbank Road,B23 - Upper Crabtree,10,88,8,2,11%,20%,No,10,,
Ferriby Road,B32 - Hillsborough,8,19,6,2,42%,25%,No,10,,
Fir Vale Road,B23 - Upper Crabtree,0,20,0,0,0%,-,No,10,,
Firshill Rise,B23 - Upper Crabtree,0,19,0,0,0%,-,No,10,,
Firshill Road,B24 - Pitsmoor,15,41,8,7,37%,47%,No,10,,
Fox Lane,A23 - Gleadless,9,158,6,3,6%,33%,No,10,,
Gleadless Road,A23 - Gleadless,9,361,5,4,2%,44%,No,10,,
Goddard Hall Road,B23 - Upper Crabtree,20,42,20,0,48%,0%,No,10,,
Grimesthorpe Road,B24 - Pitsmoor,3,121,3,0,2%,0%,No,10,,
Grove Avenue,B32 - Hillsborough,31,68,16,15,46%,48%,No,10,,
Guildford Avenue,B64 - Norfolk Park,0,68,0,0,0%,-,No,10,,
Hall Road,B31 - Bowden Housesteads,11,260,6,5,4%,45%,No,10,,
Handsworth Avenue,B31 - Bowden Housesteads,7,126,4,3,6%,43%,No,10,,
Hangingwater Road,A13 - Fulwood,17,100,9,8,17%,47%,No,10,,
Hawksley Road,B32 - Hillsborough,8,40,5,3,20%,38%,No,10,,
Helliwell Lane,B04 - Wharncliffe,7,104,6,0,7%,0%,No,10,,
Holly Gardens,B70 - Richmond,2,21,2,0,10%,0%,No,10,,
Hollybank Drive,B70 - Richmond,20,140,13,7,14%,35%,No,10,,
Hollybank Way,B70 - Richmond,6,46,5,1,13%,17%,No,10,,
Hollythorpe Road,B61 - Norton Woodseats,18,85,12,6,21%,33%,No,10,,
Jessamine Road,B21 - Firth Park,1,46,1,0,2%,0%,No,10,,
Langsett Avenue,B32 - Hillsborough,29,127,15,14,23%,48%,No,10,,
Larch Hill,B31 - Bowden Housesteads,14,89,9,5,16%,36%,No,10,,
Longford Close,B53 - Totley,1,10,1,0,10%,0%,No,10,,
Longford Crescent,B53 - Totley,10,48,9,1,21%,10%,No,10,,
Longford Road,B53 - Totley,8,58,6,2,14%,25%,No,10,,
Lowburn Road,B70 - Richmond,7,31,6,1,23%,14%,No,10,,
Maple Grove,B31 - Bowden Housesteads,13,88,6,6,15%,46%,No,10,,
Mill Dale Road,B53 - Totley,6,24,4,2,25%,33%,No,10,,
Moorgate Avenue,B47 - Howard Hill,0,37,0,0,0%,-,No,10,,
Norfolk Park Road,A23 - Gleadless,1,120,1,0,1%,0%,No,10,,
Northcote Avenue,B61 - Norton Woodseats,8,54,5,3,15%,38%,No,10,,
Norton Lees Crescent,B61 - Norton Woodseats,13,101,9,3,13%,23%,No,10,,
Norwood Avenue,B23 - Upper Crabtree,0,51,0,0,0%,-,No,10,,
Norwood Drive,B23 - Upper Crabtree,3,24,3,0,13%,0%,No,10,,
Oak Road,B69 - Basegreen,2,16,2,0,13%,0%,No,10,,
Park Grange Road,A23 - Gleadless,1,141,1,0,1%,0%,No,10,,
Park Spring Drive,B64 - Norfolk Park,5,107,4,0,5%,0%,No,10,,
Park Spring Way,B64 - Norfolk Park,0,5,0,0,0%,-,No,10,,
Parkhead Road,B50 - Whirlow,9,84,7,1,11%,11%,No,10,,
Parkwood Road North,B23 - Upper Crabtree,1,6,1,0,17%,0%,No,10,,
Pleasant Road,B70 - Richmond,5,60,3,2,8%,40%,No,10,,
Prospect Road,B53 - Totley,8,128,6,2,6%,25%,No,10,,
Quarry Vale Grove,B69 - Basegreen,0,20,0,0,0%,-,No,10,,
Reservoir Road,B47 - Howard Hill,3,17,2,1,18%,33%,No,10,,
Rosamond Avenue,B53 - Totley,10,81,10,0,12%,0%,No,10,,
Rosamond Drive,B53 - Totley,4,35,4,0,11%,0%,No,10,,
Sharrow Lane,A22 - Ecclesall,7,175,4,3,4%,43%,No,10,,
Shirecliffe Lane,B23 - Upper Crabtree,7,61,5,2,11%,29%,No,10,,
Springfield Road,B51 - Millhouses,7,151,4,2,5%,29%,No,10,,
St. Aidan's Way,B64 - Norfolk Park,1,45,1,0,2%,0%,No,10,,
St Quentin Drive,B53 - Totley,13,65,11,2,20%,15%,No,10,,
St Quentin Rise,B53 - Totley,5,29,4,1,17%,20%,No,10,,
St Quentin View,B53 - Totley,0,9,0,0,0%,-,No,10,,
Stowe Avenue,B51 - Millhouses,5,38,4,0,13%,0%,No,10,,
Stubbing House Lane,B16 - Birley Carr,0,2,0,0,0%,-,No,10,,
Studfield Drive,B09 - Hallowmoor,2,17,2,0,12%,0%,No,10,,
Thorpe House Rise,B61 - Norton Woodseats,41,133,21,20,31%,49%,No,10,,
Twentywell Road,B53 - Totley,10,57,6,3,18%,30%,No,10,,
Walders Avenue,B32 - Hillsborough,9,61,6,3,15%,33%,No,10,,
Warminster Road,B61 - Norton Woodseats,15,191,10,5,8%,33%,No,10,,
West Quadrant,B21 - Firth Park,1,44,1,0,2%,0%,No,10,,
Willow Drive,B31 - Bowden Housesteads,9,130,7,2,7%,22%,No,10,,
Wingfield Crescent,B69 - Basegreen,1,70,1,0,1%,0%,No,10,,
Withens Avenue,B32 - Hillsborough,11,51,7,4,22%,36%,No,10,,
Wollaton Road,B53 - Totley,25,102,19,6,25%,24%,No,10,,
,Totals,26677,1800,1774,,,,,,,
